estado,estado_numero,prob
blob_raiva,6,0.9999874234199524
blob_normal,0,0.9999785423278809
blob_atento,1,0.9991977214813232
blob_normal,0,0.9985617399215698
blob_normal,0,0.9973910450935364
blob_surpreso,2,0.9926797151565552
blob_normal,0,0.9849554300308228
blob_atento,1,0.9694232940673828
blob_normal,0,0.9538281559944153
estado,estado_numero,prob
blob_atento,1,0.9999998807907104
blob_normal,0,0.9999815225601196
blob_raiva,6,0.9999046325683594
blob_normal,0,0.9998877048492432
blob_atento,1,0.9996790885925293
blob_atento,1,0.9995940923690796
blob_normal,0,0.9938641786575317
blob_normal,0,0.9910786747932434
blob_feliz,4,0.9601082205772400
blob_normal,0,0.9257966876029968
estado,estado_numero,prob
blob_atento,1,0.9999997615814209
blob_normal,0,0.9999749660491943
blob_normal,0,0.9999159574508667
blob_normal,0,0.9994422197341919
blob_normal,0,0.9993982315063477
blob_raiva,6,0.9993168711662292
blob_normal,0,0.9969155192375183
blob_normal,0,0.9964077472686768
blob_normal,0,0.9731978178024292
blob_normal,0,0.9590378403663635
estado,estado_numero,prob
blob_atento,1,0.9999998807907104
blob_normal,0,0.9999703168869019
blob_raiva,6,0.9999688863754272
blob_normal,0,0.9999557733535767
blob_normal,0,0.9992526173591614
blob_atento,1,0.9988925457000732
blob_normal,0,0.9987885951995850
blob_normal,0,0.9983235597610474
blob_normal,0,0.9405035376548767
blob_atento,1,0.8579823970794678
estado,estado_numero,prob
blob_atento,1,0.9999992251396179
blob_normal,0,0.9999945759773254
blob_normal,0,0.9999853968620300
blob_raiva,6,0.9995606541633606
blob_normal,0,0.9994943737983704
blob_normal,0,0.9993390440940857
blob_feliz,4,0.9981430768966675
blob_normal,0,0.9981324672698975
blob_atento,1,0.9822289943695068
blob_normal,0,0.9822209477424622
estado,estado_numero,prob
blob_atento,1,0.9999998807907104
blob_normal,0,0.9999951124191284
blob_normal,0,0.9999861121177673
blob_raiva,6,0.9999548196792603
blob_atento,1,0.9999375939369202
blob_normal,0,0.9989734888076782
blob_normal,0,0.9988029003143311
blob_atento,1,0.9986090660095215
blob_normal,0,0.9206017255783081
blob_normal,0,0.8556174635887146
estado,estado_numero,prob
blob_atento,1,0.9999991655349731
blob_normal,0,0.9999952316284180
blob_normal,0,0.9999849796295166
blob_normal,0,0.9996404647827148
blob_normal,0,0.9995759725570679
blob_raiva,6,0.9991266131401062
blob_raiva,6,0.9987538456916809
blob_feliz,4,0.9980064630508423
